Axis1,Axis2,Axis3,Vector Magnitude,RR,label
14,0,58,59.67,3.895,0
0,0,19,19.0,0.256,0
64,116,50,141.61,0.271,0
10,208,133,247.09,0.292,0
36,56,78,102.55,0.269,0
42,39,81,99.23,0.284,0
17,14,139,140.73,0.928,0
0,5,78,78.16,0.385,0
0,0,9,9.0,2.204,0
0,6,14,15.23,0.296,0
53,6,40,66.67,0.271,0
31,35,52,69.93,2.979,0
39,10,18,44.1,0.303,0
12,9,2,15.13,0.763,0
15,1,19,24.23,0.341,0
88,61,24,109.73,0.331,0
125,22,246,276.81,0.543,0
79,35,98,130.65,7.663,0
17,0,78,79.83,0.761,0
71,78,70,126.59,0.757,0
18,73,99,124.31,0.738,0
8,0,32,32.98,0.6,0
0,0,20,20.0,0.671,0
184,31,128,226.28,0.571,0
60,0,48,76.84,0.688,0
173,24,132,218.93,0.762,0
175,43,115,213.77,0.807,0
74,24,36,85.72,0.791,0
33,12,32,47.51,0.78,0
4,2,17,17.58,0.729,0
0,20,18,26.91,0.301,0
7,60,5,60.61,0.517,0
48,64,109,135.21,0.838,0
76,0,74,106.08,0.754,0
72,0,71,101.12,0.68,0
15,0,10,18.03,0.654,0
0,0,0,0.0,0.321,0
0,0,0,0.0,0.307,0
0,0,0,0.0,0.58,0
0,0,0,0.0,0.575,0
16,0,0,16.0,0.729,0
215,76,103,250.22,0.503,0
93,0,36,99.72,0.495,0
223,58,167,284.57,3.399,0
44,0,38,58.14,0.785,0
24,0,12,26.83,0.801,0
0,0,0,0.0,0.792,0
0,0,0,0.0,0.803,0
0,0,0,0.0,0.786,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.747,0
0,0,0,0.0,1.16,0
0,0,0,0.0,0.873,0
0,0,0,0.0,0.859,0
0,0,0,0.0,0.873,0
0,0,0,0.0,0.853,0
0,0,0,0.0,0.894,0
0,0,0,0.0,0.907,0
0,0,0,0.0,0.844,0
0,0,0,0.0,0.808,0
0,0,0,0.0,0.78,0
0,0,0,0.0,0.886,0
0,0,0,0.0,0.862,0
0,0,0,0.0,0.873,0
0,0,0,0.0,0.914,0
0,0,0,0.0,0.905,0
0,0,0,0.0,0.835,0
0,0,0,0.0,0.807,0
37,1,0,37.01,0.79,0
176,49,93,205.0,0.733,0
111,13,27,114.97,0.678,0
51,8,3,51.71,0.673,0
22,0,16,27.2,0.613,0
8,0,38,38.83,0.603,0
19,117,98,153.8,0.629,0
56,77,131,161.94,0.765,0
61,21,149,162.37,0.531,0
180,46,111,216.42,1.039,0
283,37,172,333.23,0.914,0
59,8,45,74.63,0.813,0
43,4,43,60.94,0.708,0
6,34,56,65.79,0.684,0
184,38,136,231.94,0.727,0
210,35,136,252.63,0.735,0
81,24,142,165.23,0.726,0
65,55,75,113.47,0.737,0
0,61,21,64.51,0.696,0
183,87,190,277.77,0.651,0
81,44,68,114.55,0.65,0
182,82,205,286.13,0.625,0
57,35,118,135.64,0.614,0
65,2,129,144.46,0.571,0
0,0,11,11.0,0.563,0
15,3,13,20.07,0.566,0
20,12,169,170.6,0.6,0
44,0,207,211.62,0.668,0
16,0,30,34.0,0.644,0
9,0,18,20.12,0.611,0
61,32,0,68.88,0.592,0
46,0,0,46.0,0.601,0
25,0,0,25.0,0.638,0
0,0,0,0.0,0.689,0
0,0,0,0.0,0.691,0
0,0,0,0.0,0.644,0
22,12,0,25.06,0.616,0
145,5,217,261.03,0.63,0
30,0,226,227.98,0.657,0
72,38,94,124.35,0.679,0
0,25,4,25.32,0.612,0
0,2,0,2.0,0.786,0
0,0,2,2.0,0.719,0
46,95,134,170.58,0.602,0
