Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,0.589,0
0,0,0,0.0,0.585,0
0,0,0,0.0,0.584,0
0,0,0,0.0,0.585,0
0,0,0,0.0,0.59,0
0,0,0,0.0,0.598,0
0,0,0,0.0,0.621,0
0,0,0,0.0,0.82,0
0,0,0,0.0,0.798,0
0,0,0,0.0,0.788,0
0,0,0,0.0,0.778,0
148,64,124,203.41,0.723,0
85,24,72,113.95,0.683,0
127,42,66,149.16,0.609,0
129,129,31,185.05,0.629,0
52,170,174,248.76,0.631,0
5,82,190,207.0,0.361,0
31,29,54,68.69,0.282,0
23,111,146,184.84,0.316,0
91,75,113,163.32,0.359,0
69,163,78,193.43,0.438,0
140,153,131,245.3,0.291,0
37,51,27,68.55,0.641,0
89,66,74,133.24,0.699,0
138,67,0,153.4,0.711,0
91,41,50,111.63,0.678,0
100,65,65,135.83,0.659,0
109,59,67,140.89,0.795,0
20,0,0,20.0,0.722,0
35,0,0,35.0,0.681,0
28,4,0,28.28,0.654,0
122,33,0,126.38,0.635,0
141,14,41,147.51,0.614,0
48,10,71,86.28,0.622,0
125,66,170,221.09,0.635,0
79,40,53,103.2,0.64,0
2,2,0,2.83,0.621,0
43,49,85,107.12,0.61,0
55,0,42,69.2,0.611,0
6,0,1,6.08,0.598,0
28,0,25,37.54,0.596,0
40,0,137,142.72,0.594,0
137,106,267,318.27,0.606,0
53,34,57,84.94,0.726,0
56,35,37,75.7,0.734,0
0,0,12,12.0,0.707,0
0,0,0,0.0,0.675,0
0,0,0,0.0,0.663,0
0,0,0,0.0,0.65,0
0,0,0,0.0,0.646,0
0,0,0,0.0,0.637,0
0,0,0,0.0,0.64,0
10,23,6,25.79,0.635,0
0,1,0,1.0,0.63,0
16,2,6,17.2,0.618,0
2,0,0,2.0,0.639,0
0,0,0,0.0,0.791,0
0,0,0,0.0,0.798,0
6,0,0,6.0,0.753,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.695,0
0,0,0,0.0,0.704,0
0,0,0,0.0,0.681,0
34,0,9,35.17,0.63,0
93,38,59,116.51,0.635,0
93,48,20,106.55,0.614,0
24,21,3,32.03,0.604,0
29,0,4,29.27,0.616,0
37,29,40,61.73,0.628,0
124,166,74,220.02,0.642,0
35,67,75,106.48,0.646,0
59,105,35,125.42,0.649,0
109,79,15,135.45,0.649,0
19,28,31,45.89,0.646,0
52,170,62,188.28,0.618,0
41,54,12,68.85,0.613,0
26,76,25,84.12,0.623,0
76,151,63,180.41,0.625,0
20,48,26,58.14,0.742,0
42,23,0,47.89,0.69,0
0,0,0,0.0,0.622,0
0,0,4,4.0,0.62,0
38,5,72,81.57,0.634,0
23,5,58,62.59,0.607,0
0,0,0,0.0,0.607,0
0,0,0,0.0,0.6,0
0,0,0,0.0,0.613,0
0,0,0,0.0,0.627,0
68,50,87,121.21,0.622,0
329,101,207,401.61,0.639,0
81,87,46,127.46,0.65,0
79,40,39,96.76,0.812,0
40,0,6,40.45,0.77,0
220,122,104,272.21,0.719,0
86,63,41,114.22,0.659,0
32,24,30,50.0,0.613,0
58,71,22,94.28,0.604,0
121,221,44,255.77,0.598,0
143,137,66,208.74,0.601,0
95,19,67,117.79,0.611,0
57,12,14,59.91,0.769,0
73,70,85,132.11,0.758,0
151,299,130,359.31,0.695,0
29,34,21,49.38,0.66,0
0,73,0,73.0,0.76,0
2,48,23,53.26,0.78,0
12,26,9,30.02,0.771,0
28,36,31,55.15,0.763,0
35,11,23,43.3,0.725,0
107,45,119,166.24,0.671,0
52,50,38,81.54,0.644,0
14,35,63,73.42,0.621,0
147,141,110,231.5,0.62,0
209,124,73,253.74,0.631,0
79,0,46,91.42,0.796,0
183,190,151,303.96,0.783,0
114,143,91,204.27,0.78,0
202,408,59,459.07,0.776,0
34,179,114,214.93,0.763,0
0,29,1,29.02,0.774,0
0,16,0,16.0,0.782,0
0,0,0,0.0,0.634,0
0,0,0,0.0,0.838,0
51,116,102,162.67,0.777,0
159,94,86,203.75,0.756,0
41,95,63,121.14,0.763,0
137,139,41,199.43,0.717,0
74,20,9,77.18,0.666,0
72,0,0,72.0,0.645,0
170,37,48,180.48,0.639,0
85,175,104,220.6,0.638,0
66,67,9,94.48,0.617,0
8,43,0,43.74,0.621,0
0,0,0,0.0,0.61,0
0,14,23,26.93,0.734,0
0,0,0,0.0,0.735,0
0,0,0,0.0,0.693,0
0,0,0,0.0,0.654,0
7,5,34,35.07,0.651,0
88,274,133,317.03,0.655,0
0,105,14,105.93,0.665,0
22,119,23,123.18,0.664,0
107,274,181,345.38,0.652,0
4,87,76,115.59,0.639,0
0,89,0,89.0,0.621,0
0,21,0,21.0,0.615,0
0,0,0,0.0,0.642,0
0,0,0,0.0,0.701,0
0,0,0,0.0,0.779,0
18,73,59,95.57,0.798,0
163,112,37,201.2,0.792,0
57,44,5,72.18,0.748,0
70,14,0,71.39,0.695,0
24,21,64,71.51,0.766,0
1,13,42,43.98,0.769,0
25,7,5,26.44,0.769,0
89,64,21,111.62,0.743,0
147,3,0,147.03,0.668,0
17,0,0,17.0,0.625,0
6,9,0,10.82,0.762,0
0,0,0,0.0,0.722,0
60,60,18,86.74,0.665,0
48,179,106,213.5,0.638,0
62,135,94,175.8,0.626,0
99,437,104,459.98,0.615,0
31,110,74,136.15,0.615,0
110,195,45,228.36,0.613,0
17,164,56,174.13,0.61,0
28,126,80,151.86,0.605,0
100,291,79,317.68,0.604,0
