Axis1,Axis2,Axis3,Vector Magnitude,RR,label
15,84,66,107.87,14.874,0
39,101,81,135.21,0.268,0
55,99,28,116.66,0.26,0
46,103,84,140.64,0.911,0
36,14,24,45.48,0.624,0
22,58,15,63.82,0.659,0
30,36,50,68.53,0.265,0
29,27,29,49.1,0.405,0
34,53,8,63.47,0.664,0
40,40,74,93.15,0.653,0
0,0,0,0.0,0.299,0
0,0,0,0.0,8.23,0
0,0,0,0.0,0.732,0
0,0,0,0.0,0.761,0
0,0,0,0.0,0.747,0
0,0,0,0.0,0.743,0
0,0,0,0.0,0.741,0
0,0,0,0.0,0.737,0
0,0,0,0.0,0.722,0
0,0,0,0.0,0.69,0
0,0,0,0.0,0.676,0
0,0,0,0.0,0.682,0
0,0,0,0.0,0.667,0
26,24,84,91.15,0.67,0
93,367,461,596.54,0.696,0
159,124,281,345.86,0.723,0
61,56,57,100.53,0.733,0
9,14,142,142.97,0.713,0
32,46,154,163.88,0.698,0
20,17,75,79.46,0.693,0
50,17,61,80.68,0.694,0
120,10,262,288.35,0.685,0
65,0,114,131.23,0.667,0
148,23,358,388.07,0.662,0
52,28,152,163.07,0.654,0
77,47,251,266.72,0.657,0
52,56,209,222.53,0.644,0
11,26,76,81.07,0.646,0
77,57,48,107.15,0.649,0
148,56,64,170.69,0.653,0
114,73,160,209.58,0.641,0
89,72,38,120.62,0.638,0
143,74,93,185.94,0.647,0
83,39,154,179.24,0.665,0
209,95,118,258.13,0.267,0
188,227,294,416.3,0.384,0
234,170,94,304.12,0.645,0
302,273,169,440.79,0.635,0
218,102,106,262.99,0.627,0
127,183,244,330.38,0.62,0
12,63,122,137.83,0.618,0
131,103,184,248.25,0.664,0
67,332,51,342.51,0.657,0
38,74,294,305.54,0.648,0
271,143,159,345.21,0.646,0
240,171,109,314.2,0.645,0
41,176,291,342.55,0.641,0
122,99,100,186.24,0.629,0
258,93,123,300.57,0.618,0
217,519,171,587.95,0.604,0
159,235,184,338.17,0.593,0
238,158,204,351.03,0.585,0
101,253,77,283.09,0.58,0
116,155,89,213.08,0.58,0
150,120,124,228.64,0.58,0
64,286,213,362.3,0.601,0
74,25,116,139.85,0.654,0
53,103,133,176.37,0.461,0
80,163,112,213.34,0.272,0
65,92,60,127.63,0.544,0
51,102,32,118.44,0.43,0
111,60,33,130.42,0.462,0
117,147,110,217.71,0.739,0
83,69,47,117.72,0.695,0
27,6,17,32.47,0.674,0
0,0,0,0.0,0.666,0
0,0,6,6.0,0.663,0
29,4,79,84.25,0.662,0
15,0,44,46.49,0.648,0
9,10,10,16.76,0.618,0
71,33,28,83.15,0.604,0
35,136,95,169.55,0.627,0
29,162,157,227.45,0.621,0
35,63,20,74.79,0.62,0
11,9,0,14.21,0.617,0
13,0,102,102.83,0.618,0
25,58,70,94.28,0.615,0
60,16,137,150.42,0.613,0
69,128,133,197.06,0.605,0
30,50,99,114.9,0.6,0
0,10,46,47.07,0.592,0
2,0,0,2.0,0.585,0
13,21,0,24.7,0.581,0
3,21,0,21.21,0.582,0
0,21,0,21.0,0.645,0
37,48,5,60.81,0.644,0
19,14,15,27.96,0.648,0
43,97,139,174.87,0.636,0
72,87,73,134.47,0.643,0
54,62,29,87.18,0.639,0
62,67,105,139.13,0.639,0
12,49,142,150.7,0.637,0
12,55,56,79.4,0.649,0
45,80,67,113.64,0.668,0
35,101,9,107.27,0.689,0
74,159,78,191.94,0.739,0
15,27,57,64.83,0.712,0
17,21,24,36.14,0.672,0
0,0,0,0.0,0.833,0
0,0,0,0.0,0.736,0
0,0,0,0.0,0.717,0
0,0,0,0.0,0.703,0
0,0,0,0.0,0.694,0
0,0,0,0.0,0.688,0
0,0,0,0.0,0.681,0
0,0,0,0.0,0.668,0
0,0,0,0.0,0.671,0
