Axis1,Axis2,Axis3,Vector Magnitude,RR,label
83,0,26,86.98,0.493,0
83,64,26,107.99,0.282,0
45,12,22,51.51,0.35,0
8,0,4,8.94,0.435,0
0,0,0,0.0,0.255,0
0,0,0,0.0,0.275,0
0,0,1,1.0,0.697,0
0,0,4,4.0,0.334,0
0,0,0,0.0,0.364,0
22,8,43,48.96,0.921,0
35,22,56,69.61,0.293,0
75,73,67,124.27,0.273,0
26,35,81,91.99,0.319,0
24,33,8,41.58,0.338,0
0,7,16,17.46,0.273,0
15,4,36,39.2,0.455,0
7,9,23,25.67,0.379,0
49,24,118,130.0,0.393,0
11,41,32,53.16,0.476,0
44,42,146,158.16,0.259,0
17,17,99,101.88,0.271,0
0,1,28,28.02,0.275,0
7,0,0,7.0,5.624,0
0,0,0,0.0,0.33,0
0,0,0,0.0,0.265,0
0,0,0,0.0,0.264,0
0,0,0,0.0,0.373,0
4,0,0,4.0,0.284,0
144,12,157,213.38,0.37,0
76,62,94,135.85,2.444,0
98,132,114,200.06,1.307,0
123,80,143,204.89,0.332,0
102,195,143,262.45,4.422,0
36,51,71,94.54,0.699,0
121,90,88,174.6,0.726,0
58,161,109,202.89,0.704,0
159,62,144,223.3,0.743,0
13,8,0,15.26,0.763,0
16,0,0,16.0,0.757,0
0,2,0,2.0,0.767,0
0,0,0,0.0,0.805,0
0,0,0,0.0,0.842,0
0,0,0,0.0,0.824,0
0,0,0,0.0,0.792,0
0,0,0,0.0,0.758,0
0,0,0,0.0,0.765,0
52,0,27,58.59,0.74,0
105,152,146,235.47,0.718,0
62,219,111,253.23,0.686,0
52,70,98,131.18,0.678,0
36,29,85,96.76,0.649,0
33,117,74,142.32,0.623,0
29,60,56,87.05,0.626,0
95,117,72,167.03,0.674,0
4,89,0,89.09,0.779,0
0,37,0,37.0,0.736,0
0,0,0,0.0,0.78,0
0,0,0,0.0,0.831,0
36,28,0,45.61,0.779,0
51,71,73,113.89,0.82,0
100,25,84,132.97,0.862,0
42,53,93,114.99,0.844,0
4,0,25,25.32,0.892,0
0,15,0,15.0,0.889,0
0,0,0,0.0,0.872,0
0,0,0,0.0,0.826,0
0,0,0,0.0,0.734,0
0,0,0,0.0,0.739,0
0,0,0,0.0,0.74,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.854,0
0,0,0,0.0,0.881,0
0,0,0,0.0,0.928,0
0,0,12,12.0,0.886,0
60,106,84,147.96,0.881,0
18,60,25,67.45,0.864,0
28,13,84,89.49,0.812,0
37,12,3,39.01,0.797,0
34,89,94,133.84,0.839,0
60,15,71,94.16,0.882,0
1,0,30,30.02,0.882,0
5,0,11,12.08,0.931,0
62,64,106,138.48,0.891,0
10,104,122,160.62,0.877,0
56,22,64,87.84,0.825,0
16,0,13,20.62,0.825,0
16,17,0,23.35,0.815,0
18,15,60,64.41,0.771,0
48,59,21,78.91,0.778,0
3,22,30,37.32,0.83,0
67,50,10,84.2,0.881,0
69,16,41,81.84,0.923,0
158,9,33,161.66,0.846,0
72,20,25,78.8,0.863,0
52,61,83,115.39,0.908,0
89,37,72,120.31,0.838,0
28,18,81,87.57,0.838,0
38,0,44,58.14,0.833,0
155,223,59,277.91,0.838,0
45,157,40,168.15,0.875,0
5,57,18,59.98,0.833,0
100,205,75,240.1,0.821,0
113,277,75,308.42,0.79,0
142,47,91,175.08,0.761,0
77,50,12,92.59,0.751,0
31,41,135,144.45,0.735,0
4,21,56,59.94,0.724,0
5,10,18,21.19,0.716,0
40,32,19,54.64,0.725,0
5,11,37,38.92,0.718,0
67,55,62,106.57,0.702,0
13,0,12,17.69,0.727,0
0,0,0,0.0,0.743,0
0,0,0,0.0,0.752,0
0,0,0,0.0,0.748,0
0,0,0,0.0,0.752,0
10,0,38,39.29,0.76,0
38,1,13,40.17,0.758,0
41,0,2,41.05,0.749,0
48,0,63,79.2,0.739,0
19,1,52,55.37,0.737,0
7,0,4,8.06,0.741,0
0,0,2,2.0,0.71,0
54,5,20,57.8,0.699,0
